YYYYMMDDHH FOGO
2010040512 0
2010040518 0
2010040600 0
2010040606 0
2010040612 0
2010040618 1
2010040700 0
2010040706 0
2010040712 0
2010040718 0
2010040800 0
2010040806 0
2010040812 0
2010040818 3
2010040900 0
2010040906 0
2010040912 0
2010040918 0
2010041000 0
2010041006 0
2010041012 2
2010041018 0
2010041100 4
2010041106 1
2010041112 0
2010041118 0
2010041200 0
2010041206 0
2010041212 1
2010041218 0
2010041300 5
2010041306 0
2010041312 0
2010041318 1
2010041400 0
2010041406 0
2010041412 0
2010041418 0
2010041500 1
2010041506 1
2010041512 3
2010041518 0
2010041600 4
2010041606 0
2010041612 0
2010041618 0
2010041700 0
2010041706 0
2010041712 0
2010041718 0
2010041800 0
2010041806 0
2010041812 0
2010041818 0
2010041900 0
2010041906 0
2010041912 0
2010041918 0
2010042000 0
2010042006 0
2010042012 0
2010042018 10
2010042100 0
2010042106 0
2010042112 1
2010042118 0
2010042200 0
2010042206 0
2010042212 0
2010042218 0
2010042300 3
2010042306 0
2010042312 0
2010042318 0
2010042400 0
2010042406 0
2010042412 2
2010042418 2
2010042500 5
2010042506 0
2010042512 0
2010042518 0
2010042600 0
2010042606 0
2010042612 1
2010042618 0
2010042700 1
2010042706 0
2010042712 0
2010042718 4
2010042800 0
2010042806 0
2010042812 2
2010042818 0
2010042900 0
2010042906 0
2010042912 0
2010042918 3
2010043000 0
2010043006 0
2010043012 0
2010043018 0
2010050100 0
2010050106 0
2010050112 1
2010050118 4
2010050200 0
2010050206 0
2010050212 0
2010050218 0
2010050300 0
2010050306 0
2010050312 0
2010050318 2
2010050400 0
2010050406 0
2010050412 0
2010050418 2
2010050500 0
2010050506 0
2010050512 0
2010050518 0
2010050600 0
2010050606 2
2010050612 0
2010050618 3
2010050700 0
2010050706 0
2010050712 0
2010050718 0
2010050800 1
2010050806 0
2010050812 0
2010050818 4
2010050900 0
2010050906 0
2010050912 0
2010050918 0
2010051000 0
2010051006 0
2010051012 0
2010051018 1
2010051100 0
2010051106 0
2010051112 0
2010051118 0
2010051200 0
2010051206 0
2010051212 0
2010051218 0
2010051300 0
2010051306 0
2010051312 0
2010051318 0
2010051400 0
2010051406 0
2010051412 0
2010051418 0
2010051500 0
2010051506 0
2010051512 0
2010051518 1
2010051600 0
2010051606 0
2010051612 0
2010051618 0
2010051700 0
2010051706 0
2010051712 0
2010051718 8
2010051800 0
2010051806 0
2010051812 0
2010051818 0
2010051900 0
2010051906 0
2010051912 1
2010051918 1
2010052000 0
2010052006 0
2010052012 0
2010052018 0
2010052100 0
2010052106 0
2010052112 0
2010052118 0
2010052200 0
2010052206 0
2010052212 0
2010052218 5
2010052300 0
2010052306 0
2010052312 0
2010052318 0
2010052400 0
2010052406 0
2010052412 0
2010052418 0
2010052500 0
2010052506 0
2010052512 0
2010052518 0
2010052600 0
2010052606 0
2010052612 1
2010052618 9
2010052700 0
2010052706 0
2010052712 0
2010052718 5
2010052800 0
2010052806 0
2010052812 6
2010052818 0
2010052900 0
2010052906 0
2010052912 0
2010052918 2
2010053000 0
2010053006 0
2010053012 0
2010053018 0
2010053100 0
2010053106 0
2010053112 1
2010053118 11
2010060100 0
2010060106 0
2010060112 3
2010060118 0
2010060200 0
2010060206 0
2010060212 2
2010060218 1
2010060300 0
2010060306 0
2010060312 0
2010060318 0
2010060400 0
2010060406 0
2010060412 1
2010060418 1
2010060500 0
2010060506 0
2010060512 0
2010060518 5
2010060600 0
2010060606 0
2010060612 1
2010060618 0
2010060700 0
2010060706 0
2010060712 0
2010060718 3
2010060800 0
2010060806 0
2010060812 2
