YYYYMMDDHH air2m
2000070312 300.469
2000070318 291.306
2000070400 288.383
2000070406 290.426
2000070412 299.058
2000070418 291.936
2000070500 288.637
2000070506 290.073
2000070512 297.853
2000070518 291.941
2000070600 289.352
2000070606 290.685
2000070612 298.863
2000070618 292.796
2000070700 289.238
2000070706 290.694
2000070712 299.331
2000070718 292.929
2000070800 289.805
2000070806 291.173
2000070812 299.263
2000070818 291.599
2000070900 287.766
2000070906 289.584
2000070912 299.651
2000070918 291.095
2000071000 287.274
2000071006 290.082
2000071012 301.14
2000071018 293.055
2000071100 289.434
2000071106 291.852
2000071112 301.708
2000071118 293.887
2000071200 289.985
2000071206 292.147
2000071212 302.793
2000071218 294.34
2000071300 290.593
2000071306 292.525
2000071312 301.06
2000071318 294.256
2000071400 290.692
2000071406 292.205
2000071412 299.482
2000071418 293.74
2000071500 289.452
2000071506 290.816
2000071512 300.718
2000071518 292.684
2000071600 288.45
2000071606 291.461
2000071612 302.891
2000071618 293.514
2000071700 290.853
2000071706 291.867
2000071712 299.884
2000071718 288.791
2000071800 284.468
2000071806 287.887
2000071812 301.6
2000071818 291.216
2000071900 287.783
2000071906 291.599
2000071912 303.329
2000071918 292.997
2000072000 291.033
2000072006 293.504
2000072012 304.857
2000072018 293.655
2000072100 290.885
2000072106 292.794
2000072112 302.565
2000072118 295.104
2000072200 291.292
2000072206 292.412
2000072212 303.862
2000072218 294.318
2000072300 291.51
2000072306 293.133
2000072312 305.416
2000072318 294.901
2000072400 291.499
2000072406 294.688
2000072412 304.984
2000072418 296.578
2000072500 293.264
2000072506 293.564
2000072512 300.524
2000072518 294.377
2000072600 291.017
2000072606 291.993
2000072612 300.568
2000072618 293.902
2000072700 290.303
2000072706 291.659
2000072712 300.463
2000072718 294.153
2000072800 289.986
2000072806 290.706
2000072812 299.149
2000072818 291.753
2000072900 286.566
2000072906 288.174
2000072912 299.807
2000072918 291.48
2000073000 286.565
2000073006 288.749
2000073012 301.248
2000073018 291.452
2000073100 285.815
2000073106 289.849
2000073112 301.863
2000073118 292.595
2000080100 289.172
2000080106 291.17
2000080112 299.855
2000080118 294.365
2000080200 290.385
2000080206 291.929
2000080212 300.031
2000080218 293.107
2000080300 289.314
2000080306 291.446
2000080312 301.829
2000080318 293.05
2000080400 289.066
2000080406 292.177
2000080412 303.855
2000080418 295.168
2000080500 291.133
2000080506 291.1
2000080512 298.987
2000080518 292.189
2000080600 287.054
2000080606 288.362
2000080612 300.297
2000080618 292.118
2000080700 286.796
2000080706 289.717
2000080712 303.377
2000080718 293.218
2000080800 288.626
2000080806 291.576
2000080812 303.347
2000080818 294.688
2000080900 290.998
2000080906 293.116
2000080912 304.607
2000080918 294.719
2000081000 291.352
2000081006 294.657
2000081012 307.374
2000081018 297.92
2000081100 293.666
2000081106 294.544
2000081112 306.661
2000081118 297.168
2000081200 293.782
2000081206 293.437
2000081212 301.129
2000081218 294.603
2000081300 290.224
2000081306 290.287
2000081312 299.371
2000081318 293.394
2000081400 289.064
2000081406 289.961
2000081412 300.341
2000081418 292.396
2000081500 286.593
2000081506 288.666
2000081512 301.191
2000081518 291.536
2000081600 286.243
2000081606 289.923
