#YYYYMMDDHH,air2m,prate,soilw0-10cm,soilw10-200cm,FOGO
2000032100,292245,3.63515e-06,0.361031,0.367603,0
2000032106,293423,1.37725e-05,0.357802,0.367269,0
2000032112,297901,4.02386e-05,0.344907,0.366605,0
2000032118,294322,5.59484e-05,0.34602,0.36616,0
2000032200,292866,2.57553e-05,0.348131,0.36583,0
2000032206,293432,1.88264e-05,0.347673,0.365272,0
2000032212,298.36,4.37804e-05,0.334745,0.364384,0
2000032218,294044,4.1954e-05,0.336595,0.363717,0
2000032300,292488,1.26603e-05,0.338596,0.363383,0
2000032306,294135,1.32181e-05,0.33893,0.362829,0
2000032312,297414,0.000164217,0.340242,0.361939,0
2000032318,293845,6.96116e-05,0.345236,0.361603,0
2000032400,292266,1.46658e-05,0.347605,0.361381,0
2000032406,293899,2.22711e-06,0.345389,0.36116,0
2000032412,297681,0.000141618,0.346197,0.360381,0
2000032418,293.1,3.54882e-05,0.34564,0.360158,0
2000032500,290647,0.0,0.344323,0.360045,0
2000032506,293839,8.82329e-07,0.341999,0.3596,0
2000032512,298837,5.75473e-05,0.332299,0.358487,0
2000032518,293696,3.70858e-05,0.335144,0.358152,0
2000032600,292087,0.0,0.335051,0.357707,0
2000032606,294045,4.42271e-07,0.333622,0.357373,0
2000032612,298677,8.83059e-05,0.32901,0.356258,0
2000032618,294213,9.39796e-05,0.335323,0.355811,0
2000032700,292146,4.32757e-05,0.339272,0.355586,0
2000032706,293912,1.42968e-05,0.338186,0.355254,0
2000032712,297248,0.000124261,0.33697,0.354697,0
2000032718,293679,6.22149e-05,0.340742,0.354586,0
2000032800,291.36,4.82291e-06,0.340428,0.354142,0
2000032806,293812,6.69744e-07,0.337877,0.353808,0
2000032812,298.55,5.13013e-05,0.32997,0.353252,0
2000032818,293667,3.92941e-05,0.330856,0.352807,0
2000032900,292277,7.74753e-06,0.331307,0.352362,0
2000032906,293756,9.05311e-06,0.330546,0.352252,0
2000032912,297827,4.06793e-05,0.322229,0.351028,0
2000032918,293488,0.000148162,0.335181,0.350584,0
2000033000,292244,1.28951e-05,0.33619,0.350363,0
2000033006,293169,8.23865e-06,0.334422,0.350251,0
2000033012,297182,5.70535e-05,0.326889,0.349363,0
2000033018,293266,9.30552e-05,0.332887,0.349251,0
2000033100,291866,2.40577e-05,0.335562,0.348918,0
2000033106,293256,2.20017e-07,0.331893,0.348585,0
2000033112,298573,1.31836e-05,0.320685,0.347585,0
2000033118,293166,3.86181e-05,0.320231,0.346918,0
2000040100,291499,1.52256e-05,0.321795,0.346587,0
2000040106,293223,1.76142e-06,0.321015,0.346254,0
2000040112,299041,1.5478e-05,0.311805,0.345142,0
2000040118,293488,6.90644e-05,0.314787,0.344474,0
2000040200,291756,8.41203e-06,0.316459,0.344031,0
2000040206,293801,9.90164e-07,0.315903,0.343809,0
2000040212,298799,4.7206e-05,0.310135,0.342809,0
2000040218,293592,0.000154653,0.321656,0.342139,0
2000040300,291.98,4.59374e-05,0.330138,0.341809,0
2000040306,293049,1.39061e-05,0.329589,0.341697,0
2000040312,295982,0.000126691,0.328605,0.341144,0
2000040318,292805,0.000105334,0.337279,0.340921,0
2000040400,291061,9.63698e-06,0.336718,0.340587,0
2000040406,291693,1.38442e-05,0.334824,0.340255,0
2000040412,296.16,5.38056e-05,0.326502,0.3397,0
2000040418,292782,7.76645e-05,0.331742,0.339367,0
2000040500,291369,1.71624e-05,0.332297,0.33881,0
2000040506,292444,8.38522e-06,0.330516,0.338589,0
2000040512,296.47,8.89823e-05,0.327242,0.33781,0
2000040518,292403,1.90359e-05,0.324134,0.337477,0
2000040600,290959,3.34293e-07,0.323363,0.337034,0
2000040606,292647,2.76809e-06,0.321365,0.336699,0
2000040612,295986,0.000193471,0.328619,0.335922,0
2000040618,291806,1.69897e-05,0.324756,0.335807,0
2000040700,290.07,5.5116e-07,0.323321,0.335476,0
2000040706,291867,3.53282e-06,0.321437,0.335029,0
2000040712,296352,0.00016564,0.32605,0.334583,0
2000040718,292536,5.75997e-05,0.327064,0.334028,0
2000040800,291259,0.0,0.325299,0.333806,0
2000040806,292.68,2.21123e-07,0.322973,0.33336,0
2000040812,295702,0.000204174,0.332462,0.333027,0
2000040818,292801,5.44753e-05,0.335389,0.332806,0
2000040900,291691,0.0,0.332941,0.332251,0
2000040906,292843,1.09995e-07,0.330163,0.332028,0
2000040912,296181,0.000145876,0.329035,0.331474,0
2000040918,292434,1.39538e-05,0.327139,0.331141,0
2000041000,291391,0.0,0.326028,0.330808,0
2000041006,292756,1.98141e-06,0.324028,0.330362,0
2000041012,296419,0.000151758,0.328515,0.32992,0
2000041018,292735,5.6538e-05,0.331869,0.329583,0
2000041100,291416,0.0,0.32932,0.32925,0
