YYYYMMDDHH prate
2011051518 0.0
2011051600 0.0
2011051606 0.0
2011051612 5.09361e-05
2011051618 3.34214e-05
2011051700 2.51877e-05
2011051706 1.65751e-05
2011051712 3.5164e-05
2011051718 1.77394e-05
2011051800 9.90164e-07
2011051806 1.43025e-06
2011051812 0.0
2011051818 1.54027e-06
2011051900 2.55649e-06
2011051906 0.0
2011051912 0.0
2011051918 0.0
2011052000 0.0
2011052006 1.09995e-07
2011052012 3.63062e-06
2011052018 0.0
2011052100 8.14148e-06
2011052106 4.07184e-06
2011052112 5.28096e-06
2011052118 9.90164e-07
2011052200 0.0
2011052206 2.31039e-06
2011052212 2.20017e-07
2011052218 1.65029e-06
2011052300 0.0
2011052306 0.0
2011052312 0.0
2011052318 0.0
2011052400 0.0
2011052406 0.0
2011052412 2.24321e-06
2011052418 0.0
2011052500 1.12136e-07
2011052506 6.72919e-07
2011052512 0.0
2011052518 0.0
2011052600 0.0
2011052606 0.0
2011052612 0.0
2011052618 0.0
2011052700 0.0
2011052706 1.09995e-07
2011052712 0.0
2011052718 0.0
2011052800 0.0
2011052806 0.0
2011052812 0.0
2011052818 0.0
2011052900 0.0
2011052906 9.90164e-07
2011052912 0.0
2011052918 0.0
2011053000 0.0
2011053006 1.09995e-07
2011053012 0.0
2011053018 0.0
2011053100 0.0
2011053106 1.09995e-07
2011053112 0.0
2011053118 0.0
2011060100 0.0
2011060106 3.32152e-07
2011060112 0.0
2011060118 0.0
2011060200 0.0
2011060206 0.0
2011060212 0.0
2011060218 0.0
2011060300 0.0
2011060306 0.0
2011060312 0.0
2011060318 0.0
2011060400 0.0
2011060406 3.35425e-07
2011060412 3.01791e-05
2011060418 1.07059e-05
2011060500 1.76255e-06
2011060506 5.98063e-06
2011060512 2.44706e-06
2011060518 0.0
2011060600 5.39996e-06
2011060606 2.64269e-06
2011060612 0.0
2011060618 0.0
2011060700 2.90257e-06
2011060706 6.69744e-07
2011060712 0.0
2011060718 0.0
2011060800 0.0
2011060806 2.24298e-07
2011060812 9.85516e-06
2011060818 2.09038e-06
2011060900 0.0
2011060906 0.0
2011060912 0.0
2011060918 0.0
2011061000 0.0
2011061006 0.0
2011061012 8.80143e-07
2011061018 1.07819e-05
2011061100 1.36425e-05
2011061106 0.0
2011061112 1.09995e-07
2011061118 4.22376e-06
2011061200 7.77716e-06
2011061206 1.32244e-06
2011061212 0.0
2011061218 5.04723e-06
2011061300 4.36818e-06
2011061306 2.01076e-06
2011061312 0.0
2011061318 0.0
2011061400 1.12136e-07
2011061406 2.24271e-07
2011061412 0.0
2011061418 0.0
2011061500 3.36459e-07
2011061506 0.0
2011061512 0.0
